time,open,high,low,close,volume,spread
2023-01-02,1.06755,1.0707200000000001,1.06501,1.06636,20576,1e-05
2023-01-03,1.06657,1.06828,1.05192,1.05474,94765,1e-05
2023-01-04,1.0548,1.06347,1.05404,1.06055,88867,1e-05
2023-01-05,1.06065,1.0631,1.05146,1.0521,80830,1e-05
2023-01-06,1.05209,1.06475,1.04814,1.06388,80563,1e-05
2023-01-09,1.06406,1.07601,1.06406,1.07309,79753,8e-05
2023-01-10,1.07309,1.07588,1.07117,1.07338,77980,1e-05
2023-01-11,1.07338,1.07758,1.07252,1.07539,61533,1e-05
2023-01-12,1.07552,1.08667,1.07242,1.0848,90821,1e-05
2023-01-13,1.08478,1.0867499999999999,1.07801,1.08273,77500,1e-05
2023-01-16,1.08284,1.0873599999999999,1.0801,1.08222,50360,1e-05
2023-01-17,1.08227,1.08689,1.07739,1.079,77728,1e-05
2023-01-18,1.07915,1.08869,1.07659,1.07918,98505,1e-05
2023-01-19,1.07919,1.08395,1.07819,1.08299,73832,1e-05
2023-01-20,1.083,1.08585,1.08018,1.08549,59146,1e-05
2023-01-23,1.08661,1.09264,1.08458,1.08699,63182,1e-05
2023-01-24,1.08697,1.08975,1.08348,1.08858,58160,1e-05
2023-01-25,1.08858,1.09232,1.08569,1.09133,60921,1e-05
2023-01-26,1.09133,1.0929,1.08501,1.08902,59754,1e-05
2023-01-27,1.08907,1.08999,1.08373,1.08676,53426,2e-05
2023-01-30,1.08657,1.09133,1.08388,1.08507,61330,2e-05
2023-01-31,1.08509,1.08745,1.08017,1.08617,61803,2e-05
2023-02-01,1.08618,1.10001,1.08518,1.09874,69800,1e-05
2023-02-02,1.09874,1.10326,1.08852,1.09079,83973,1e-05
2023-02-03,1.09081,1.09397,1.07922,1.07938,74289,1e-05
2023-02-06,1.07871,1.07984,1.07091,1.07261,64287,2e-05
2023-02-07,1.07266,1.07662,1.06689,1.07289,77216,1e-05
2023-02-08,1.0729,1.0760399999999999,1.07076,1.07116,56683,1e-05
2023-02-09,1.07116,1.07904,1.07092,1.0739,57467,1e-05
2023-02-10,1.07391,1.07525,1.06659,1.06742,62423,2e-05
2023-02-13,1.06775,1.07295,1.0655000000000001,1.0723799999999999,49974,7e-05
2023-02-14,1.07235,1.0804,1.07064,1.07342,80497,1e-05
2023-02-15,1.07347,1.0744,1.06601,1.06879,64993,2e-05
2023-02-16,1.06884,1.0722,1.06539,1.06696,65302,1e-05
2023-02-17,1.06698,1.0698,1.06123,1.06905,57903,2e-05
2023-02-20,1.06915,1.07043,1.067,1.06851,35066,1e-05
2023-02-21,1.06851,1.06977,1.06371,1.06484,64309,1e-05
2023-02-22,1.0649,1.06637,1.05987,1.0605,62572,1e-05
2023-02-23,1.06053,1.06273,1.05766,1.05949,56352,1e-05
2023-02-24,1.05956,1.06141,1.05356,1.05434,65627,1e-05
2023-02-27,1.05436,1.06195,1.05325,1.06056,52964,2e-05
2023-02-28,1.06056,1.06446,1.05695,1.05786,54452,1e-05
2023-03-01,1.05798,1.0691,1.05649,1.0668,62831,1e-05
2023-03-02,1.06684,1.06724,1.05761,1.05976,56892,1e-05
2023-03-03,1.05979,1.06381,1.05878,1.06345,50779,1e-05
2023-03-06,1.06243,1.06939,1.06218,1.06815,55774,8e-05
2023-03-07,1.06815,1.06939,1.05439,1.05506,72585,1e-05
2023-03-08,1.05515,1.05735,1.05239,1.05429,63168,1e-05
2023-03-09,1.05428,1.05908,1.05376,1.05813,56659,8e-05
2023-03-10,1.0581,1.07002,1.05736,1.06386,98422,8e-05
2023-03-13,1.06917,1.0748199999999999,1.06498,1.07272,129334,7e-05
2023-03-14,1.07272,1.07493,1.06784,1.07317,100266,1e-05
2023-03-15,1.07317,1.07594,1.05157,1.05753,109797,2e-05
2023-03-16,1.05737,1.06352,1.05504,1.0612,101548,8e-05
2023-03-17,1.06118,1.06849,1.06079,1.06638,76687,1e-05
2023-03-20,1.06845,1.07304,1.06309,1.07188,81056,8e-05
2023-03-21,1.07184,1.07881,1.07035,1.07672,58327,7e-05
2023-03-22,1.07671,1.09118,1.07586,1.08577,65956,8e-05
2023-03-23,1.08592,1.09294,1.08231,1.08325,74961,1e-05
2023-03-24,1.0832600000000001,1.08383,1.07127,1.07577,84413,8e-05
2023-03-27,1.07645,1.07996,1.07445,1.07966,65311,1e-05
2023-03-28,1.0796999999999999,1.08481,1.07967,1.08405,56830,8e-05
2023-03-29,1.08405,1.08707,1.08173,1.08392,56290,1e-05
2023-03-30,1.08392,1.09259,1.0823,1.09045,58085,1e-05
2023-03-31,1.09045,1.09252,1.08361,1.08366,59679,2e-05
2023-04-03,1.08401,1.09162,1.07878,1.0901,61359,8e-05
2023-04-04,1.09008,1.09727,1.08824,1.09547,60930,2e-05
2023-04-05,1.0955,1.09691,1.08905,1.09057,56630,8e-05
2023-04-06,1.0906,1.09373,1.08842,1.09176,47024,7e-05
2023-04-07,1.09176,1.09236,1.08759,1.08974,17244,1e-05
2023-04-10,1.08967,1.09166,1.0830899999999999,1.08585,37433,2e-05
2023-04-11,1.08583,1.09275,1.08575,1.09105,47672,1e-05
2023-04-12,1.09105,1.09998,1.09105,1.09913,52339,1e-05
2023-04-13,1.09913,1.10673,1.09763,1.10448,48649,2e-05
2023-04-14,1.10445,1.10754,1.09718,1.09863,54155,1e-05
2023-04-17,1.09921,1.09992,1.09087,1.0925,49194,8e-05
2023-04-18,1.09252,1.09824,1.09218,1.09696,45573,1e-05
2023-04-19,1.09696,1.09835,1.09168,1.09554,50035,1e-05
2023-04-20,1.09565,1.0989,1.0933,1.09647,50715,1e-05
2023-04-21,1.09653,1.09933,1.09376,1.09793,50072,1e-05
2023-04-24,1.09863,1.10496,1.09653,1.10444,44537,2e-05
2023-04-25,1.10434,1.10666,1.09636,1.09737,52985,2e-05
2023-04-26,1.09724,1.10947,1.0968,1.10399,64229,8e-05
2023-04-27,1.10399,1.1063,1.09916,1.10212,55470,2e-05
2023-04-28,1.10209,1.10445,1.0962,1.10128,66993,7e-05
2023-05-01,1.10177,1.10351,1.09639,1.09743,44805,8e-05
2023-05-02,1.09732,1.1007500000000001,1.09417,1.10007,57258,2e-05
2023-05-03,1.10017,1.1091199999999999,1.1,1.10603,61657,2e-05
2023-05-04,1.10603,1.1091199999999999,1.0985800000000001,1.10127,71576,8e-05
2023-05-05,1.10119,1.10474,1.09662,1.10159,52416,1e-05
2023-05-08,1.10208,1.10532,1.09988,1.10031,41951,1e-05
2023-05-09,1.1004,1.1004,1.09407,1.09496,44603,1e-05
2023-05-10,1.09488,1.10063,1.09411,1.09812,52992,1e-05
2023-05-11,1.09813,1.09975,1.08997,1.0915,57232,1e-05
2023-05-12,1.0915,1.0935,1.08467,1.08467,44799,1e-05
2023-05-15,1.0853,1.08904,1.08448,1.08738,39998,1e-05
2023-05-16,1.0875,1.09042,1.08544,1.08612,47760,1e-05
2023-05-17,1.0861,1.08731,1.08098,1.08388,46055,1e-05
2023-05-18,1.08393,1.08475,1.0762,1.07698,42858,2e-05
2023-05-19,1.07705,1.08283,1.07595,1.08004,52360,1e-05
2023-05-22,1.08075,1.08307,1.07951,1.0811,49314,2e-05
2023-05-23,1.08109,1.08201,1.07597,1.07721,53021,2e-05
2023-05-24,1.07727,1.08008,1.07471,1.07493,53074,1e-05
2023-05-25,1.07494,1.07562,1.0707,1.07275,53813,8e-05
2023-05-26,1.07278,1.07581,1.07014,1.07205,51151,1e-05
2023-05-29,1.0722,1.07431,1.07051,1.0709,21310,2e-05
2023-05-30,1.07087,1.07461,1.0672,1.07319,56381,1e-05
2023-05-31,1.07318,1.07352,1.06346,1.06854,58890,2e-05
2023-06-01,1.06864,1.0768,1.06615,1.07587,56256,1e-05
2023-06-02,1.07587,1.07785,1.07048,1.07069,46950,1e-05
2023-06-05,1.07074,1.07219,1.06741,1.07116,46760,2e-05
2023-06-06,1.07111,1.07324,1.06665,1.06937,44178,1e-05
2023-06-07,1.06938,1.07392,1.0668,1.06981,47519,1e-05
2023-06-08,1.06983,1.07866,1.06963,1.07815,48120,1e-05
2023-06-09,1.07815,1.07846,1.07424,1.07434,41399,2e-05
2023-06-12,1.07462,1.07896,1.07327,1.07563,39963,1e-05
2023-06-13,1.07574,1.08231,1.07567,1.07888,50820,1e-05
2023-06-14,1.07888,1.08636,1.07733,1.0830899999999999,51516,1e-05
2023-06-15,1.0831,1.09522,1.08033,1.09412,50169,1e-05
2023-06-16,1.09444,1.09702,1.09175,1.09352,53173,8e-05
2023-06-19,1.09379,1.09458,1.09066,1.0921,32310,2e-05
2023-06-20,1.0921,1.09457,1.08917,1.09169,52876,2e-05
2023-06-21,1.09168,1.09903,1.09052,1.09835,57922,2e-05
2023-06-22,1.09835,1.10118,1.09481,1.09547,51570,1e-05
2023-06-23,1.09545,1.09578,1.08439,1.08882,58006,2e-05
2023-06-26,1.08955,1.09198,1.08868,1.09056,45131,8e-05
2023-06-27,1.09056,1.09762,1.09015,1.096,49320,2e-05
2023-06-28,1.09602,1.09621,1.08964,1.09127,51537,7e-05
