time,open,high,low,close,volume,spread
2023-10-02 00:00:00,1.05666,1.05705,1.05621,1.05622,199,0.00011
2023-10-02 00:05:00,1.05622,1.05639,1.05614,1.05632,100,7e-05
2023-10-02 00:10:00,1.05633,1.05692,1.05633,1.05662,110,7e-05
2023-10-02 00:15:00,1.05662,1.05689,1.05651,1.05655,81,8e-05
2023-10-02 00:20:00,1.05656,1.05657,1.05644,1.05652,67,2e-05
2023-10-02 00:25:00,1.05647,1.0565,1.05628,1.05631,84,9e-05
2023-10-02 00:30:00,1.05632,1.05638,1.05618,1.05619,86,9e-05
2023-10-02 00:35:00,1.05618,1.05624,1.05604,1.05608,83,2e-05
2023-10-02 00:40:00,1.05609,1.05613,1.05581,1.05588,80,2e-05
2023-10-02 00:45:00,1.0559,1.05604,1.05583,1.056,74,7e-05
2023-10-02 00:50:00,1.05603,1.0561,1.05588,1.05589,40,9e-05
2023-10-02 00:55:00,1.05589,1.05595,1.05574,1.05589,133,7e-05
2023-10-02 01:00:00,1.05589,1.05598,1.05575,1.05583,128,7e-05
2023-10-02 01:05:00,1.05586,1.056,1.05586,1.05596,93,7e-05
2023-10-02 01:10:00,1.05594,1.05595,1.0558,1.05588,123,7e-05
2023-10-02 01:15:00,1.05587,1.05609,1.05587,1.05591,138,7e-05
2023-10-02 01:20:00,1.0559,1.05605,1.0559,1.05596,60,1e-05
2023-10-02 01:25:00,1.05597,1.05612,1.05594,1.05607,49,1e-05
2023-10-02 01:30:00,1.05606,1.05609,1.05579,1.05588,71,7e-05
2023-10-02 01:35:00,1.05588,1.05612,1.05588,1.05609,50,7e-05
2023-10-02 01:40:00,1.05609,1.05631,1.05608,1.05625,81,1e-05
2023-10-02 01:45:00,1.05624,1.0563,1.05621,1.05624,148,7e-05
2023-10-02 01:50:00,1.05623,1.05626,1.05619,1.05623,62,7e-05
2023-10-02 01:55:00,1.05623,1.05643,1.05623,1.05638,80,7e-05
2023-10-02 02:00:00,1.05638,1.05643,1.05622,1.05627,128,7e-05
2023-10-02 02:05:00,1.05625,1.05643,1.05622,1.0564,162,1e-05
2023-10-02 02:10:00,1.0564,1.05665,1.05638,1.05642,184,7e-05
2023-10-02 02:15:00,1.05639,1.05669,1.05627,1.05669,107,7e-05
2023-10-02 02:20:00,1.05669,1.05673,1.05653,1.05658,101,7e-05
2023-10-02 02:25:00,1.05658,1.05665,1.05645,1.05659,91,7e-05
2023-10-02 02:30:00,1.0566,1.05679,1.05655,1.05655,70,7e-05
2023-10-02 02:35:00,1.05655,1.05656,1.05639,1.05648,88,7e-05
2023-10-02 02:40:00,1.05649,1.05656,1.05629,1.05654,99,7e-05
2023-10-02 02:45:00,1.05655,1.05657,1.0564,1.05643,97,1e-05
